FECHA,DEPARTAMENTO,MUNICIPIO,DIA,HORA,BARRIO,ZONA,CLASE DE SITIO,ARMA EMPLEADA,MOVIL AGRESOR,MOVIL VICTIMA,EDAD,SEXO,ESTADO CIVIL,PAIS DE NACIMIENTO,CLASE DE EMPLEADO,PROFESION,ESCOLARIDAD,CODIGO DANE,CLASE,MARCA,LINEA,MODELO,COLOR,CANTIDAD,ANIO,MES,UTC DATETIME
2021-01-01,ANTIOQUIA,MEDELLIN (CT),VIERNES,03:00:00,SANTO DOMINGO  1 C-1,URBANA,CARRETERA,SIN EMPLEO DE ARMAS,A PIE,A PIE,25,MASCULINO,CASADO,COLOMBIA,EMPLEADO PARTICULAR,TECNICO MECANICO,SECUNDARIA,5001000,AUTOMOVIL,CHEVROLET,SPRINT,1994,GRIS,1,2021,ENERO,2021-01-01T03:00:00Z
2021-01-01,ANTIOQUIA,MEDELLIN (CT),VIERNES,17:00:00,ARANJUEZ  C-4,URBANA,SOBRE ANDEN - VIA PUBLICA,SIN EMPLEO DE ARMAS,A PIE,A PIE,26,FEMENINO,SOLTERO,COLOMBIA,INDEPENDIENTE,INGENIERIA DEL MEDIO AMBIENTE,SUPERIOR,5001000,AUTOMOVIL,RENAULT,SYMBOL EXPRESSION,2003,BEIGE,1,2021,ENERO,2021-01-01T17:00:00Z
2021-01-01,ATLANTICO,BARRANQUILLA (CT),VIERNES,03:20:00,LOS NOGALES,URBANA,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,A PIE,27,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,TECNICO,8001000,AUTOMOVIL,MAZDA,3 ALL NEW,2014,BLANCO,1,2021,ENERO,2021-01-01T03:20:00Z
2021-01-01,CAUCA,POPAYAN (CT),VIERNES,04:13:00,PANDIGUANDO,URBANA,FRENTE A RESIDENCIAS - VIA PUBLICA,SIN EMPLEO DE ARMAS,A PIE,A PIE,38,MASCULINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADA,SECUNDARIA,19001000,CAMIONETA,NISSAN,FRONTIER,002020,BLANCO,1,2021,ENERO,2021-01-01T04:13:00Z
2021-01-01,CESAR,VALLEDUPAR (CT),VIERNES,07:00:00,VILLA CLARA,URBANA,ALOJAMIENTO,SIN EMPLEO DE ARMAS,A PIE,A PIE,37,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,COMERCIO,SECUNDARIA,20001000,AUTOMOVIL,CHEVROLET,AVEO,2012,AZUL,1,2021,ENERO,2021-01-01T07:00:00Z
2021-01-01,VALLE,CALI (CT),VIERNES,02:00:00,PRIMAVERA E11,URBANA,ZONAS AZULES - VIA PUBLICA,SIN EMPLEO DE ARMAS,A PIE,A PIE,39,FEMENINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,CONTADURIA PUBLICA,SUPERIOR,76001000,AUTOMOVIL,KIA,-,2014,GRIS,1,2021,ENERO,2021-01-01T02:00:00Z
2021-01-02,BOLIVAR,CARTAGENA (CT),SABADO,00:00:00,MANGA,URBANA,CALLEJON,SIN EMPLEO DE ARMAS,CONDUCTOR VEHICULO,A PIE,51,FEMENINO,CASADO,COLOMBIA,AMA DE CASA,-,SECUNDARIA,13001000,AUTOMOVIL,KIA,CERATO FORTE SX,2011,PLATA,1,2021,ENERO,2021-01-02T00:00:00Z
2021-01-02,CESAR,CHIRIGUANA,SABADO,06:00:00,11 NOVIEMBRE,URBANA,CALLEJON,ARMA BLANCA / CORTOPUNZANTE,A PIE,CONDUCTOR VEHICULO,31,FEMENINO,SOLTERO,COLOMBIA,DESEMPLEADO,INGENIERIA AMBIENTAL,SUPERIOR,20178000,AUTOMOVIL,CHEVROLET,B 60,2019,GRIS PLATINO,1,2021,ENERO,2021-01-02T06:00:00Z
2021-01-02,CUNDINAMARCA,BOGOTA D.C. (CT),SABADO,00:00:00,TECHO E-8,URBANA,OTRO,SIN EMPLEO DE ARMAS,A PIE,A PIE,33,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADA,NO REPORTADO,11001000,CAMIONETA,FORD,F150 SVT RAPTOR,1997,ROJO,1,2021,ENERO,2021-01-02T00:00:00Z
2021-01-02,CUNDINAMARCA,BOGOTA D.C. (CT),SABADO,20:30:00,SUR DE TEUSAQUILLO E-13,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,CONDUCTOR VEHICULO,55,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,SIN PROFESION,SUPERIOR,11001000,AUTOMOVIL,NISSAN,TIIDA,2013,NEGRO,1,2021,ENERO,2021-01-02T20:30:00Z
2021-01-02,CUNDINAMARCA,BOGOTA D.C. (CT),SABADO,18:00:00,GIBRALTAR E-19,URBANA,VIAS PUBLICAS,LLAVE MAESTRA,A PIE,A PIE,33,MASCULINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,-,SECUNDARIA,11001000,AUTOMOVIL,KIA,RIO,2003,PLATA,1,2021,ENERO,2021-01-02T18:00:00Z
2021-01-02,GUAJIRA,FONSECA,SABADO,05:00:00,LAS DELICIAS,URBANA,CARRETERA,SIN EMPLEO DE ARMAS,A PIE,A PIE,34,MASCULINO,CASADO,COLOMBIA,EMPLEADO PARTICULAR,ADMINISTRACION  DE EMPRESAS,SUPERIOR,44279000,AUTOMOVIL,TOYOTA,COROLLA XL,-,PLATA,1,2021,ENERO,2021-01-02T05:00:00Z
2021-01-02,GUAJIRA,HATONUEVO,SABADO,01:00:00,LA UNION,URBANA,CASAS DE HABITACION,SIN EMPLEO DE ARMAS,A PIE,A PIE,30,MASCULINO,SOLTERO,COLOMBIA,EDUCADOR,INGENIERO,SUPERIOR,44378000,AUTOMOVIL,MAZDA,ALLEGRO,-,GRIS,1,2021,ENERO,2021-01-02T01:00:00Z
2021-01-02,NARINO,IPIALES,SABADO,01:00:00,CORREGIMIENTO SAN JUAN,RURAL,CASAS DE HABITACION,SIN EMPLEO DE ARMAS,A PIE,A PIE,37,MASCULINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,SIN PROFESION,TECNICO,52356000,AUTOMOVIL,CHEVROLET,SPRINT,-,PLATA NIQUEL,1,2021,ENERO,2021-01-02T01:00:00Z
2021-01-02,NORTE DE SANTANDER,OCANA,SABADO,17:17:00,VEREDA AGUAS CLARAS,RURAL,TRANSPORTE PUBLICO RURAL,ARMA DE FUEGO,A PIE,CONDUCTOR VEHICULO,36,MASCULINO,CASADO,COLOMBIA,EMPLEADO PARTICULAR,ESPECIALIZACION EN DISENO Y EVALUACION DE PROYECTOS,SUPERIOR,54498000,CAMIONETA,NISSAN,D22/NP300,2012,BLANCO,1,2021,ENERO,2021-01-02T17:17:00Z
2021-01-02,VALLE,CALI (CT),SABADO,20:00:00,PASO DEL COMERCIO E6,URBANA,VIAS PUBLICAS,LLAVE MAESTRA,A PIE,A PIE,20,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,SUPERIOR,76001000,AUTOMOVIL,MAZDA,3Z6NM5,2005,GRIS,1,2021,ENERO,2021-01-02T20:00:00Z
2021-01-03,ANTIOQUIA,ITAGUI,DOMINGO,07:30:00,TRIANA,URBANA,TALLERES MECANICA,SIN EMPLEO DE ARMAS,A PIE,A PIE,70,MASCULINO,CASADO,COLOMBIA,INDEPENDIENTE,-,SECUNDARIA,5360000,AUTOMOVIL,CHEVROLET,SAIL,2017,GRIS,1,2021,ENERO,2021-01-03T07:30:00Z
2021-01-03,ANTIOQUIA,MEDELLIN (CT),DOMINGO,18:00:00,LA ISLA C-2,URBANA,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,A PIE,30,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,5001000,AUTOMOVIL,CHEVROLET,SAIL,2018,BLANCO,1,2021,ENERO,2021-01-03T18:00:00Z
2021-01-03,ANTIOQUIA,MEDELLIN (CT),DOMINGO,20:20:00,LOS CERROS EL VERGEL  C-9,URBANA,FRENTE A RESIDENCIAS - VIA PUBLICA,SIN EMPLEO DE ARMAS,A PIE,A PIE,21,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,-,TECNOLOGO,5001000,CAMIONETA,CHEVROLET,LUV KB 21,1989,BLANCO,1,2021,ENERO,2021-01-03T20:20:00Z
2021-01-03,ANTIOQUIA,MEDELLIN (CT),DOMINGO,10:40:00,ESTADIO C-11,URBANA,FRENTE CONJUNTO - VIA PUBLICA,ARMA DE FUEGO,A PIE,A PIE,59,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,5001000,TAXI,HYUNDAI,I 10,2013,AMARILLO,1,2021,ENERO,2021-01-03T10:40:00Z
2021-01-03,CUNDINAMARCA,BOGOTA D.C. (CT),DOMINGO,21:00:00,BOSA E-7,URBANA,VIAS PUBLICAS,LLAVE MAESTRA,A PIE,A PIE,36,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,11001000,CAMION,CHEVROLET,NHR,2010,BLANCO,1,2021,ENERO,2021-01-03T21:00:00Z
2021-01-03,CUNDINAMARCA,BOGOTA D.C. (CT),DOMINGO,03:00:00,PERPETUO SOCORRO E-8,URBANA,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,A PIE,31,MASCULINO,UNION LIBRE,COLOMBIA,DESEMPLEADO,-,SECUNDARIA,11001000,AUTOMOVIL,CHEVROLET,CORSA GL,1996,ROJO,1,2021,ENERO,2021-01-03T03:00:00Z
2021-01-03,CUNDINAMARCA,SOACHA,DOMINGO,11:00:00,VILLA SOFIA II,URBANA,BAHIA,SIN EMPLEO DE ARMAS,A PIE,A PIE,22,MASCULINO,-,-,EMPLEADO PARTICULAR,-,-,25754000,AUTOMOVIL,CHEVROLET,AVEO,-,GRIS,1,2021,ENERO,2021-01-03T11:00:00Z
2021-01-03,NORTE DE SANTANDER,TIBU,DOMINGO,11:30:00,BARRIO LOS PINOS,URBANA,CARRETERA,ARMA DE FUEGO,CONDUCTOR VEHICULO,PASAJERO MOTOCICLETA,35,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADA,NO REPORTADO,54810000,CAMIONETA,TOYOTA,HILUX,2019,BLANCO,1,2021,ENERO,2021-01-03T11:30:00Z
2021-01-03,QUINDIO,ARMENIA (CT),DOMINGO,02:30:00,LA GRECIA,URBANA,BAHIA,SIN EMPLEO DE ARMAS,A PIE,A PIE,32,FEMENINO,CASADO,COLOMBIA,DESEMPLEADO,COMERCIO,TECNICO,63001000,AUTOMOVIL,CHEVROLET,AVEO,2010,BLANCO,1,2021,ENERO,2021-01-03T02:30:00Z
2021-01-03,VALLE,CALI (CT),DOMINGO,18:25:00,LOS GUAYACANES E5,URBANA,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,CONDUCTOR VEHICULO,45,FEMENINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,76001000,AUTOMOVIL,KIA,PICANTO LX,2008,GRIS,1,2021,ENERO,2021-01-03T18:25:00Z
2021-01-03,VALLE,LA CUMBRE,DOMINGO,20:00:00,CGTO PAVAS E27,RURAL,FINCAS Y SIMILARES,ARMA DE FUEGO,A PIE,A PIE,45,MASCULINO,CASADO,COLOMBIA,EMPLEADO PARTICULAR,-,SUPERIOR,76377000,CAMIONETA,MAZDA,3,2017,NEGRO,1,2021,ENERO,2021-01-03T20:00:00Z
2021-01-03,VALLE,LA CUMBRE,DOMINGO,20:00:00,CGTO PAVAS E27,RURAL,FINCAS Y SIMILARES,ARMA DE FUEGO,A PIE,A PIE,45,MASCULINO,CASADO,COLOMBIA,EMPLEADO PARTICULAR,-,SUPERIOR,76377000,CAMIONETA,TOYOTA,PRADO TX-L,2016,BLANCO,1,2021,ENERO,2021-01-03T20:00:00Z
2021-01-04,ANTIOQUIA,BELLO,LUNES,11:30:00,ZONA CENTRO,URBANA,FRENTE A ALMACEN - VIA PUBLICA,ARMA DE FUEGO,A PIE,A PIE,35,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,5088000,CAMION,CHEVROLET,NPR,2019,BLANCO,1,2021,ENERO,2021-01-04T11:30:00Z
2021-01-04,ANTIOQUIA,CISNEROS,LUNES,22:20:00,CENTRO,RURAL,VIAS PUBLICAS,ESCOPOLAMINA,PASAJERO VEHICULO,CONDUCTOR VEHICULO,25,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,5190000,CAMIONETA,CHEVROLET,LUV D MAX,2012,BLANCO,1,2021,ENERO,2021-01-04T22:20:00Z
2021-01-04,ANTIOQUIA,COPACABANA,LUNES,21:30:00,SAN JUAN,RURAL,OTRO,ARMA DE FUEGO,A PIE,A PIE,38,MASCULINO,SOLTERO,COLOMBIA,DESEMPLEADO,ADMINISTRACION  DE NEGOCIOS,SUPERIOR,5212000,CAMPERO,KIA,NEW SPORTAGE LX,2010,BLANCO,1,2021,ENERO,2021-01-04T21:30:00Z
2021-01-04,CESAR,AGUSTIN CODAZZI,LUNES,06:00:00,VEREDA,RURAL,CARRETERA,ARMA DE FUEGO,A PIE,CONDUCTOR VEHICULO,40,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADA,SECUNDARIA,20013000,AUTOMOVIL,MAZDA,6,2015,GRIS,1,2021,ENERO,2021-01-04T06:00:00Z
2021-01-04,CUNDINAMARCA,BOGOTA D.C. (CT),LUNES,23:00:00,FLORIDA BLANCA E-10,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,CONDUCTOR VEHICULO,36,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,ADMINISTRACION  DE EMPRESAS,SUPERIOR,11001000,AUTOMOVIL,NISSAN,VERSA,2013,GRIS,1,2021,ENERO,2021-01-04T23:00:00Z
2021-01-04,CUNDINAMARCA,BOGOTA D.C. (CT),LUNES,23:00:00,TINTAL E-8,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,CONDUCTOR VEHICULO,21,MASCULINO,UNION LIBRE,COLOMBIA,DESEMPLEADO,-,SUPERIOR,11001000,AUTOMOVIL,CHEVROLET,SPARK,2014,ROJO,1,2021,ENERO,2021-01-04T23:00:00Z
2021-01-04,CUNDINAMARCA,BOGOTA D.C. (CT),LUNES,08:00:00,OSORIO DIEZ E-7,URBANA,CALLEJON,SIN EMPLEO DE ARMAS,A PIE,A PIE,39,FEMENINO,CASADO,COLOMBIA,AMA DE CASA,LICENCIATURA EN EDUCACION PREESCOLAR,SUPERIOR,11001000,AUTOMOVIL,RENAULT,LOGAN EXPRESSION,2013,GRIS,1,2021,ENERO,2021-01-04T08:00:00Z
2021-01-04,CUNDINAMARCA,BOGOTA D.C. (CT),LUNES,17:00:00,PATIO BONITO I E-8,URBANA,VIAS PUBLICAS,LLAVE MAESTRA,A PIE,CONDUCTOR VEHICULO,56,MASCULINO,CASADO,COLOMBIA,EMPLEADO PARTICULAR,-,TECNICO,11001000,AUTOMOVIL,MAZDA,323,1993,VERDE,1,2021,ENERO,2021-01-04T17:00:00Z
2021-01-04,CUNDINAMARCA,BOGOTA D.C. (CT),LUNES,12:30:00,ACEVEDO TEJADA E-13,URBANA,BOMBA DE GASOLINA,ARMA DE FUEGO,PASAJERO VEHICULO,CONDUCTOR VEHICULO,37,MASCULINO,CASADO,COLOMBIA,INDEPENDIENTE,CIENCIAS MILITARES,TECNOLOGO,11001000,AUTOMOVIL,FORD,FIESTA,2015,PLATA,1,2021,ENERO,2021-01-04T12:30:00Z
2021-01-04,CUNDINAMARCA,BOGOTA D.C. (CT),LUNES,12:30:00,NORMANDIA E-10,URBANA,BAHIA,SIN EMPLEO DE ARMAS,A PIE,A PIE,71,FEMENINO,VIUDO,COLOMBIA,PENSIONADO,-,PRIMARIA,11001000,AUTOMOVIL,FIAT,130 SL,1983,ROJO,1,2021,ENERO,2021-01-04T12:30:00Z
2021-01-04,CUNDINAMARCA,BOGOTA D.C. (CT),LUNES,13:30:00,VILLA MAYOR E-18,URBANA,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,A PIE,46,FEMENINO,CASADO,COLOMBIA,INDEPENDIENTE,COMERCIO,TECNICO,11001000,CAMIONETA,CHEVROLET,N300,2015,BLANCO,1,2021,ENERO,2021-01-04T13:30:00Z
2021-01-04,CUNDINAMARCA,BOGOTA D.C. (CT),LUNES,02:30:00,ENGATIVA ZONA URBANA E-10,URBANA,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,A PIE,54,FEMENINO,VIUDO,COLOMBIA,AMA DE CASA,-,SECUNDARIA,11001000,CAMIONETA,MAZDA,BT 50,2011,NEGRO,1,2021,ENERO,2021-01-04T02:30:00Z
2021-01-04,CUNDINAMARCA,BOGOTA D.C. (CT),LUNES,20:50:00,ANDALUCIA E-1,URBANA,VIAS PUBLICAS,LLAVE MAESTRA,A PIE,A PIE,32,MASCULINO,UNION LIBRE,COLOMBIA,EMPLEADO POLICIAL,-,TECNICO,11001000,CAMIONETA,CHEVROLET,RODEO,1997,BLANCO,1,2021,ENERO,2021-01-04T20:50:00Z
2021-01-04,NARINO,LOS ANDES,LUNES,02:00:00,VEREDA  PANGUS,RURAL,FINCAS Y SIMILARES,SIN EMPLEO DE ARMAS,A PIE,A PIE,25,MASCULINO,UNION LIBRE,COLOMBIA,AGRICULTOR,-,SECUNDARIA,52418000,CAMPERO,CHEVROLET,GRAND VITARA,1997,BRONCE,1,2021,ENERO,2021-01-04T02:00:00Z
2021-01-04,VALLE,CALI (CT),LUNES,18:00:00,EL GRAN LIMONAR - CATAYA E17,URBANA,VIAS PUBLICAS,LLAVE MAESTRA,A PIE,A PIE,54,FEMENINO,SOLTERO,MEXICO,EMPLEADO PARTICULAR,NO REPORTADA,SUPERIOR,76001000,CAMIONETA,HYUNDAI,TUCSON,2016,BLANCO,1,2021,ENERO,2021-01-04T18:00:00Z
2021-01-04,VALLE,CALI (CT),LUNES,14:00:00,NUEVA TEQUENDAMA E19,URBANA,VIAS PUBLICAS,LLAVE MAESTRA,A PIE,A PIE,52,MASCULINO,CASADO,COLOMBIA,EMPLEADO PARTICULAR,INGENIERIA CIVIL,SUPERIOR,76001000,AUTOMOVIL,MAZDA,3,2017,NO REPORTADO,1,2021,ENERO,2021-01-04T14:00:00Z
2021-01-04,VALLE,CALI (CT),LUNES,12:00:00,BRISAS DE LOS ALAMOS E2,URBANA,VIAS PUBLICAS,LLAVE MAESTRA,A PIE,A PIE,50,MASCULINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,-,SUPERIOR,76001000,AUTOMOVIL,CHEVROLET,AVEO FAMILY,2011,NEGRO,1,2021,ENERO,2021-01-04T12:00:00Z
2021-01-04,VALLE,CALI (CT),LUNES,00:30:00,JUANAMBU E2,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,48,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADA,SECUNDARIA,76001000,AUTOMOVIL,HYUNDAI,GRAND I10,2019,AMARILLO,1,2021,ENERO,2021-01-04T00:30:00Z
2021-01-04,VALLE,JAMUNDI,LUNES,18:30:00,CGTO SAN ISIDRO E24,URBANA,VIAS PUBLICAS,LLAVE MAESTRA,A PIE,A PIE,29,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,76364000,AUTOMOVIL,CHEVROLET,SPARK,2012,ROJO,1,2021,ENERO,2021-01-04T18:30:00Z
2021-01-05,ANTIOQUIA,MEDELLIN (CT),MARTES,20:00:00,CAMPO VALDES 2 C-3,URBANA,VIAS PUBLICAS,LLAVE MAESTRA,A PIE,A PIE,27,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,TECNICO MECANICO,TECNICO,5001000,AUTOMOVIL,CHEVROLET,SPARK,2012,BLANCO,1,2021,ENERO,2021-01-05T20:00:00Z
2021-01-05,ANTIOQUIA,MEDELLIN (CT),MARTES,19:00:00,EL CHAGUALO C-10,URBANA,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,A PIE,27,MASCULINO,-,-,EMPLEADO PARTICULAR,-,-,5001000,AUTOMOVIL,MAZDA,323,1988,ROJO,1,2021,ENERO,2021-01-05T19:00:00Z
2021-01-05,ANTIOQUIA,MEDELLIN (CT),MARTES,12:00:00,SAN ISIDRO  C-4,URBANA,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,A PIE,45,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,-,SECUNDARIA,5001000,CAMION,JAC,HFC1063KN,2014,BLANCO,1,2021,ENERO,2021-01-05T12:00:00Z
2021-01-05,ANTIOQUIA,MEDELLIN (CT),MARTES,06:00:00,EL RINCON C-16,URBANA,PARQUEADERO,SIN EMPLEO DE ARMAS,A PIE,A PIE,47,MASCULINO,CASADO,COLOMBIA,INDEPENDIENTE,-,SECUNDARIA,5001000,CAMPERO,TOYOTA,LAND CRUISER,1998,VARIOS COLORES,1,2021,ENERO,2021-01-05T06:00:00Z
2021-01-05,ANTIOQUIA,RIONEGRO,MARTES,17:15:00,BARRO BLANCO,RURAL,FINCAS Y SIMILARES,SIN EMPLEO DE ARMAS,A PIE,A PIE,33,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,-,SECUNDARIA,5615000,CAMIONETA,CHEVROLET,LINEA STANDARD,1989,NEGRO,1,2021,ENERO,2021-01-05T17:15:00Z
2021-01-05,ATLANTICO,BARRANQUILLA (CT),MARTES,05:00:00,LA CONCEPCION,URBANA,PARQUEADERO,LLAVE MAESTRA,A PIE,A PIE,72,MASCULINO,SOLTERO,COLOMBIA,PENSIONADO,-,SECUNDARIA,8001000,AUTOMOVIL,DAEWOO,CIELO GLX,1996,VERDE,1,2021,ENERO,2021-01-05T05:00:00Z
2021-01-05,BOLIVAR,CARTAGENA (CT),MARTES,02:00:00,BOSQUECITO,URBANA,FRENTE A RESIDENCIAS - VIA PUBLICA,SIN EMPLEO DE ARMAS,A PIE,A PIE,54,MASCULINO,CASADO,COLOMBIA,EMPLEADO PARTICULAR,COMERCIO,SECUNDARIA,13001000,AUTOMOVIL,MAZDA,626 GLX,1991,BLANCO,1,2021,ENERO,2021-01-05T02:00:00Z
2021-01-05,BOYACA,PUERTO BOYACA,MARTES,06:00:00,CRISTO REY,URBANA,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,A PIE,29,MASCULINO,SOLTERO,COLOMBIA,DESEMPLEADO,-,SECUNDARIA,15572000,CAMIONETA,TOYOTA,HILUX,2015,BLANCO,1,2021,ENERO,2021-01-05T06:00:00Z
2021-01-05,CAUCA,EL TAMBO,MARTES,13:30:00,VEREDA RIO HONDO,RURAL,CARRETERA,ARMA DE FUEGO,A PIE,CONDUCTOR VEHICULO,52,FEMENINO,CASADO,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADA,PRIMARIA,19256000,CAMIONETA,CHEVROLET,LUV D MAX,2013,DORADO,1,2021,ENERO,2021-01-05T13:30:00Z
2021-01-05,CAUCA,PAEZ,MARTES,10:30:00,VDA GUADUALEJO,RURAL,CARRETERA,ARMA DE FUEGO,PASAJERO MOTOCICLETA,CONDUCTOR VEHICULO,57,MASCULINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,INGENIERO,SUPERIOR,19517000,CAMIONETA,VOLKSWAGEN,AMAROK HIGHLINE,2015,AZUL,1,2021,ENERO,2021-01-05T10:30:00Z
2021-01-05,CUNDINAMARCA,BOGOTA D.C. (CT),MARTES,21:30:00,CIUDAD JARDIN SUR E-15,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,PASAJERO VEHICULO,CONDUCTOR VEHICULO,49,MASCULINO,CASADO,COLOMBIA,INDEPENDIENTE,-,SECUNDARIA,11001000,AUTOMOVIL,CHEVROLET,SPARK,2011,GRIS,1,2021,ENERO,2021-01-05T21:30:00Z
2021-01-05,CUNDINAMARCA,BOGOTA D.C. (CT),MARTES,23:00:00,CIUDAD KENNEDY CENTRAL E-8,URBANA,VIAS PUBLICAS,LLAVE MAESTRA,A PIE,CONDUCTOR VEHICULO,41,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,-,SECUNDARIA,11001000,AUTOMOVIL,CHEVROLET,SPARK,2009,PLATA,1,2021,ENERO,2021-01-05T23:00:00Z
2021-01-05,CUNDINAMARCA,BOGOTA D.C. (CT),MARTES,16:00:00,SAN ANTONIO E-15,URBANA,VIAS PUBLICAS,LLAVE MAESTRA,A PIE,CONDUCTOR VEHICULO,60,MASCULINO,CASADO,COLOMBIA,INDEPENDIENTE,ADMINISTRACION  DE EMPRESAS,SUPERIOR,11001000,CAMIONETA,CHEVROLET,CAPTIVA SPORT,2011,NEGRO,1,2021,ENERO,2021-01-05T16:00:00Z
2021-01-05,CUNDINAMARCA,BOGOTA D.C. (CT),MARTES,03:00:00,VILLA MAYOR E-18,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,CONDUCTOR VEHICULO,31,MASCULINO,-,-,INDEPENDIENTE,AUXILIARES DE ALMACEN Y BODEGA,SECUNDARIA,11001000,AUTOMOVIL,RENAULT,SANDERO DYNAMIQUE,2015,GRIS,1,2021,ENERO,2021-01-05T03:00:00Z
2021-01-05,CUNDINAMARCA,BOGOTA D.C. (CT),MARTES,02:00:00,RIVERAS DE OCCIDENTE E-8,URBANA,VIAS PUBLICAS,LLAVE MAESTRA,A PIE,CONDUCTOR VEHICULO,34,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,-,TECNICO,11001000,CAMIONETA,CHEVROLET,LUV DC,1998,VERDE,1,2021,ENERO,2021-01-05T02:00:00Z
2021-01-05,CUNDINAMARCA,BOGOTA D.C. (CT),MARTES,05:00:00,CASTILLA E-8,URBANA,VIAS PUBLICAS,LLAVE MAESTRA,A PIE,CONDUCTOR VEHICULO,29,MASCULINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,-,TECNICO,11001000,AUTOMOVIL,KIA,PICANTO,2021,NEGRO,1,2021,ENERO,2021-01-05T05:00:00Z
2021-01-05,CUNDINAMARCA,BOGOTA D.C. (CT),MARTES,07:30:00,LA ESPERANZA E-19,URBANA,FRENTE A RESIDENCIAS - VIA PUBLICA,SIN EMPLEO DE ARMAS,A PIE,A PIE,37,MASCULINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,SIN PROFESION,PRIMARIA,11001000,AUTOMOVIL,CHEVROLET,SPRINT,1993,GRIS,1,2021,ENERO,2021-01-05T07:30:00Z
2021-01-05,CUNDINAMARCA,BOGOTA D.C. (CT),MARTES,19:50:00,VILLA MAYOR E-15,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,CONDUCTOR VEHICULO,52,MASCULINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,-,PRIMARIA,11001000,TAXI,HYUNDAI,ATOS PRIME,2012,AMARILLO,1,2021,ENERO,2021-01-05T19:50:00Z
2021-01-05,CUNDINAMARCA,FUNZA,MARTES,19:00:00,MEXICO,URBANA,VEHICULO MOTO,SIN EMPLEO DE ARMAS,A PIE,A PIE,61,MASCULINO,SOLTERO,COLOMBIA,DESEMPLEADO,-,PRIMARIA,25286000,AUTOMOVIL,AKT,AK 125 EVO,-,NEGRO,1,2021,ENERO,2021-01-05T19:00:00Z
